State Id,OfficeName,"Service
Code","Service
Title","Actual
Start
Date","Actual
End
Date","Completion
Status","Service
Provider
Name","Course
Name","Credential
Type 1","Credential
Date 1","Exit
Reason","Exit
Date",Q0 -Wages at Exit,"Employment
Start
Date",EmpName,EmpCity,EmpStateCD,JobTitle,HoursPerWeek,"Placement
Hour
Wage","Medical
Benefits","Other
Benefits","Train
Related
Emp","Non
Traditional
Emp","NAICS
Code",QTR1A Exit,QTR2A Exit,QTR3A Exit
95617,DC Infrastructure Academy,313,Enrolled In State And Local Training,7/23/2019,7/24/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,7/24/2019,Successful Completion Employed,12/16/2019,,12/16/2019,Alphabet Education Inc,,,Assistants,27,15,0,0,9,0,,,,
99940,DC Infrastructure Academy,313,Enrolled In State And Local Training,6/27/2019,6/28/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,6/28/2019,Successful Completion Employed,8/15/2019,,8/15/2019,"SOME, INC",Washington,DC,"Associate, Program Assistant",40,16.44,0,0,9,0,621,,,
100727,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),7/15/2019,9/27/2019,Successful Completion,CC Prep - MLK,Help Desk IT Training,6,9/9/2019,Successful Completion Employed,10/21/2019,,10/21/2019,"22nd Century Technologies, Inc.","McLean, VA 22102",VA,PC Specialist,40,23,1,1,9,0,541511,,,
506391,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/20/2019,7/8/2019,Successful Completion,ITC Technologies LLC,Cisco Certified Network Associate (CCNA),5,6/21/2019,Successful Completion Employed,7/15/2019,,7/15/2019,Contemporary Services Corp,Upper Marlboro,MD,Security,32,14.5,0,0,9,0,561612,,,
485188,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/25/2019,7/24/2019,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,,,Successful Completion Employed,9/9/2019,,9/9/2019,"Pepco Holdings, Inc.",Washington,DC,Lineman,40,20,1,1,9,0,221122,,,
347139,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/6/2019,5/21/2019,Unsuccessful Completion - Dropped Out,,,5,8/28/2019,,,,                              ,,,,,,,,,,,,,,
509288,DC Infrastructure Academy,313,Enrolled In State And Local Training,9/28/2019,9/30/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,9/28/2019,Unknown Status,9/10/2020,,                              ,,,,,,,,,,,,,,
505173,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/6/2019,7/26/2019,Successful Completion,Opportunities Industrialization Center of Washington-OIC/DC,CompTIA A+,5,7/26/2019,Successful Completion Employed,11/19/2019,,11/18/2019,Miles & Stockbridge P.C.,Washington,DC,IT Support Specialist,40,23.08,1,1,9,0,541110,,,
511703,DC Infrastructure Academy,313,Enrolled In State And Local Training,8/14/2019,8/14/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,8/14/2019,Successful Completion Employed,2/24/2020,,1/13/2020,CHIPOTLE,,,Crew Member,18,14,1,1,9,0,,,,
219866,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/25/2019,7/24/2019,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,,,Successful Completion Employed,1/23/2020,,9/13/2019,DC Water and Sewer Authority,Washington,DC,Utility Service Worker Apprent,40,15,1,1,9,0,924110,,,
117773,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/25/2019,4/8/2019,Unsuccessful Completion - Dropped Out,University of the District of Columbia (UDC),Quick Path to Energy,,,Successful Completion Employed,9/18/2019,,4/1/2019,Constellis Group,Reston,VA,Associate,40,26.4,0,0,9,0,611430,,,
171072,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/25/2019,7/24/2019,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,,,Successful Completion Employed,9/9/2019,,9/9/2019,"Pepco Holdings, Inc.",Washington,DC,Lineman,40,20,1,1,9,0,221122,,,
421688,DC Infrastructure Academy,313,Enrolled In State And Local Training,3/21/2019,3/22/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,3/22/2019,Successful Completion Employed,9/23/2019,,9/23/2019,Area Wide Protective,Fishersville,VA,Protector,40,11.5,1,1,9,0,423610,,,
325538,DC Infrastructure Academy,313,Enrolled In State And Local Training,8/1/2019,8/2/2019,Successful Completion,The Training Zone of the DMV,OSHA 30,5,8/2/2019,Unknown Status,1/13/2020,,                              ,,,,,,,,,,,,,,
355259,DC Infrastructure Academy,313,Enrolled In State And Local Training,9/28/2019,9/28/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,9/25/2019,,,,                              ,,,,,,,,,,,,,,
310717,DC Infrastructure Academy,313,Enrolled In State And Local Training,6/27/2019,6/28/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,6/28/2019,,,,                              ,,,,,,,,,,,,,,
479127,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/28/2019,3/28/2019,Unsuccessful Completion - Dropped Out,Excel Automotive Institute,Automotive Foundations,,,Unknown Status,6/19/2020,,                              ,,,,,,,,,,,,,,
264403,DC Infrastructure Academy,313,Enrolled In State And Local Training,8/28/2019,8/28/2019,Successful Completion,DC Department of Fire & Emergency Services,First Aid/CPR/AED Training,5,8/28/2019,,,,                              ,,,,,,,,,,,,,,
4831,DC Infrastructure Academy,313,Enrolled In State And Local Training,6/5/2019,6/5/2019,Successful Completion,DC Department of Fire & Emergency Services,First Aid/CPR/AED Training,5,3/29/2019,Successful Completion Employed,3/2/2020,,8/18/2019,Express Employment Professionals,,,ASSOCIATE,40,11,1,1,9,0,,,,
480873,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/20/2019,7/8/2019,Successful Completion,ITC Technologies LLC,Cisco Certified Network Associate (CCNA),5,6/21/2019,Unknown Status,6/19/2020,,                              ,,,,,,,,,,,,,,
512729,DC Infrastructure Academy,313,Enrolled In State And Local Training,9/3/2019,9/4/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,9/4/2019,,,,                              ,,,,,,,,,,,,,,
227390,DC Infrastructure Academy,313,Enrolled In State And Local Training,6/20/2019,6/21/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,6/21/2019,Successful Completion Employed,9/19/2019,,9/19/2019,Securamerica,Washington,DC,Security Guard,40,11.5,1,1,9,0,561612,,,
173055,DC Infrastructure Academy,313,Enrolled In State And Local Training,9/24/2019,9/25/2019,Successful Completion,The Training Zone of the DMV,OSHA 30,5,9/4/2019,Successful Completion Employed,7/7/2020,,7/7/2020,Utility Lines Construction,White Marsh,MD,Apprentice 1,40,18,1,1,9,0,238210,,,
203732,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/25/2019,7/24/2019,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,5,10/24/2019,Successful Completion Employed,4/17/2020,,7/6/2020,Pepco Holdings Inc,Washington,DC,Substation Operations Trainee,40,21.75,1,1,9,0,551112,,,
186363,DC Infrastructure Academy,313,Enrolled In State And Local Training,5/30/2019,5/31/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,5/31/2019,Successful Completion Employed,10/16/2019,,10/16/2019,Parts Authority,Washington,DC,Delivery Driver,40,14,1,1,9,0,441310,,,
80539,DC Infrastructure Academy,313,Enrolled In State And Local Training,3/21/2019,3/22/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,3/22/2019,Successful Completion Employed,2/19/2020,,5/14/2019,Flagger Network LLC,Oxon Hill,MD,Flagger,40,14.5,0,0,9,0,561311,,,
246426,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),7/1/2019,10/11/2019,Successful Completion,Toni Thomas Associates,Commercial Driver's License Class B,4,10/11/2019,,,,                              ,,,,,,,,,,,,,,
453902,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),9/24/2019,12/13/2019,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,5,9/20/2019,Successful Completion Employed,11/20/2019,,11/20/2019,CADC LLC,,,Canvasser,40,15,1,1,9,0,,,,
113375,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),7/19/2021,NA,,University of the District of Columbia (UDC),Quick Path to Energy,5,12/20/2019,,,,                              ,,,,,,,,,,,,,,
263735,DC Infrastructure Academy,313,Enrolled In State And Local Training,11/26/2018,12/18/2018,Status of Completion Unknown,,,,,Unknown Status,4/15/2020,,                              ,,,,,,,,,,,,,,
485494,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),9/24/2019,12/13/2019,Successful Completion,GRID Alternatives Mid-Atlantic,Solar Works,5,12/13/2019,Successful Completion Employed,2/28/2020,,1/10/2020,Trueblue Inc,Fredericksburg,VA,Temp/Laborer,40,12.5,1,1,9,0,561311,,,
235759,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/25/2019,7/24/2019,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,,,,,,                              ,,,,,,,,,,,,,,
93829,DC Infrastructure Academy,313,Enrolled In State And Local Training,7/23/2019,7/24/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,7/24/2019,,,,                              ,,,,,,,,,,,,,,
479871,DC Infrastructure Academy,313,Enrolled In State And Local Training,8/1/2019,8/2/2019,Successful Completion,The Training Zone of the DMV,OSHA 30,5,7/12/2019,,,,                              ,,,,,,,,,,,,,,
127189,DC Infrastructure Academy,313,Enrolled In State And Local Training,7/23/2019,7/24/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,7/24/2019,,,,                              ,,,,,,,,,,,,,,
173055,DC Infrastructure Academy,313,Enrolled In State And Local Training,9/3/2019,9/4/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,9/4/2019,Successful Completion Employed,7/7/2020,,7/7/2020,Utility Lines Construction,White Marsh,MD,Apprentice 1,40,18,1,1,9,0,238210,,,
472866,DC Infrastructure Academy,313,Enrolled In State And Local Training,6/20/2019,6/21/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,6/21/2019,Unknown Status,2/24/2020,,                              ,,,,,,,,,,,,,,
6105,DC Infrastructure Academy,313,Enrolled In State And Local Training,3/28/2019,3/29/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,3/29/2019,Unknown Status,9/29/2020,,                              ,,,,,,,,,,,,,,
506011,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),4/8/2019,9/5/2019,Successful Completion,CC Prep - MLK,Help Desk IT Training,4,7/20/2019,,,,                              ,,,,,,,,,,,,,,
203798,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/10/2019,9/27/2019,Unsuccessful Completion - Failed to Report,CC Prep - MLK,Help Desk IT Training,6,6/5/2019,,,,                              ,,,,,,,,,,,,,,
104969,DC Infrastructure Academy,313,Enrolled In State And Local Training,6/13/2019,6/14/2019,Successful Completion,The Training Zone of the DMV,OSHA 30,5,6/7/2019,Successful Completion Employed,8/28/2018,,8/28/2018,Baker DC LLC,Washington,DC,Laborer,40,15,0,0,9,0,238110,,,
84499,DC Infrastructure Academy,313,Enrolled In State And Local Training,6/13/2019,6/14/2019,Successful Completion,The Training Zone of the DMV,OSHA 30,5,3/22/2019,,,,                              ,,,,,,,,,,,,,,
435263,DC Infrastructure Academy,313,Enrolled In State And Local Training,8/1/2019,8/2/2019,Successful Completion,The Training Zone of the DMV,OSHA 30,5,6/7/2019,,,,                              ,,,,,,,,,,,,,,
631855,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/16/2021,NA,,University of the District of Columbia (UDC),Quick Path to Energy,5,5/28/2021,,,,                              ,,,,,,,,,,,,,,
93898,DC Infrastructure Academy,313,Enrolled In State And Local Training,3/7/2019,3/8/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,3/8/2019,Successful Completion Employed,5/28/2019,,5/21/2019,Express Employment Pro,Greenbelt,MD,Laborer,32,14.75,0,0,9,0,561311,,,
159502,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),1/28/2019,8/9/2019,Successful Completion,Excel Automotive Institute,Automotive Foundations,5,5/17/2019,Unknown Status,6/19/2020,,                              ,,,,,,,,,,,,,,
2318,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/25/2019,7/24/2019,Successful Completion,University of the District of Columbia (UDC),Quick Path to Energy,5,3/1/2019,Unknown Status,6/19/2020,,                              ,,,,,,,,,,,,,,
505455,DC Infrastructure Academy,313,Enrolled In State And Local Training,8/15/2019,8/16/2019,Unsuccessful Completion - Failed to Report,The Training Zone of the DMV,OSHA 30,5,8/14/2019,,,,                              ,,,,,,,,,,,,,,
165492,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),5/24/2021,NA,,"Pepco Holdings, Inc.",Pepco Utility Training Class,6,5/26/2021,,,,                              ,,,,,,,,,,,,,,
476503,DC Infrastructure Academy,313,Enrolled In State And Local Training,6/13/2019,6/14/2019,Successful Completion,The Training Zone of the DMV,OSHA 30,5,5/31/2019,,,,                              ,,,,,,,,,,,,,,
99603,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),7/15/2019,9/27/2019,Successful Completion,Opportunities Industrialization Center of Washington-OIC/DC,CompTIA A+,5,9/27/2019,Successful Completion Employed,2/24/2020,,5/8/2018,All My Sons Moving & Storage,Newport News,VA,helper,40,9,1,1,9,0,484110,,,
180205,DC Infrastructure Academy,313,Enrolled In State And Local Training,8/8/2019,8/9/2019,Unsuccessful Completion - Failed to Report,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,,,,,,                              ,,,,,,,,,,,,,,
335493,DC Infrastructure Academy,313,Enrolled In State And Local Training,8/15/2019,8/16/2019,Successful Completion,The Training Zone of the DMV,OSHA 30,5,8/14/2019,Successful Completion Employed,12/17/2019,,12/17/2019,Ceva Freight,,,Warehouseman,40,17.5,0,0,9,0,,,,
406572,DC Infrastructure Academy,313,Enrolled In State And Local Training,9/3/2019,9/4/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,9/4/2019,,,,                              ,,,,,,,,,,,,,,
93949,DC Infrastructure Academy,313,Enrolled In State And Local Training,9/3/2019,9/4/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,9/4/2019,,,,                              ,,,,,,,,,,,,,,
504499,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/25/2019,5/10/2019,Unsuccessful Completion - Did Not Meet Requirement,University of the District of Columbia (UDC),Quick Path to Energy,5,9/30/2020,,,,                              ,,,,,,,,,,,,,,
9182,DC Infrastructure Academy,313,Enrolled In State And Local Training,6/13/2019,6/14/2019,Successful Completion,The Training Zone of the DMV,OSHA 30,5,5/31/2019,Successful Completion Employed,10/23/2019,,10/23/2019,COSTCO WHOLESALE CORPORATION,,,FOOD SERVICE,40,15,1,1,9,0,,,,
62249,DC Infrastructure Academy,313,Enrolled In State And Local Training,9/3/2019,9/4/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,9/4/2019,Unknown Status,4/18/2020,,                              ,,,,,,,,,,,,,,
69485,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/16/2021,NA,,University of the District of Columbia (UDC),Quick Path to Energy,5,5/26/2021,,,,                              ,,,,,,,,,,,,,,
96525,DC Infrastructure Academy,313,Enrolled In State And Local Training,6/6/2019,6/7/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,6/7/2019,Successful Completion Employed,6/16/2019,,6/16/2019,Tyson Project Management Group,Washington,DC,Office mover,44,15,0,0,9,0,541614,,,
462733,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),6/10/2019,9/27/2019,Successful Completion,CC Prep - MLK,Help Desk IT Training,6,9/16/2019,Successful Completion Employed,3/31/2019,,3/31/2019,Target,Bowie,MD,Sales Associate,40,14,1,1,9,0,452210,,,
306092,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),7/1/2019,9/16/2019,Unsuccessful Completion - Did Not Meet Requirement,Toni Thomas Associates,Commercial Driver's License Class B,,,,,,                              ,,,,,,,,,,,,,,
504901,DC Infrastructure Academy,313,Enrolled In State And Local Training,3/7/2019,3/8/2019,Successful Completion,The Training Zone of the DMV,Flagger/OSHA 10 Safety Training,5,5/24/2019,Successful Completion,5/28/2019,,8/9/2019,Monument Academy Pubc Charter,Washington,DC,Specialist,40,17.1,1,1,9,0,611110,,,
203732,DC Infrastructure Academy,328,Occupational Skills Training (Non-ITA),3/25/2019,7/24/2019,Successful Completion,"Pepco Holdings, Inc.",Pepco Utility Training Class,5,10/24/2019,Successful Completion Employed,4/17/2020,,7/6/2020,Pepco Holdings Inc,Washington,DC,Substation Operations Trainee,40,21.75,1,1,9,0,551112,,,
